startedAt,vendor,model,osversion,installationId,imsi,unknown,subscriber.mcc,subscriber.mnc,subscriber.operator,network.mcc,network.mnc,network.operator,latency,downlink,uplink,latitude,longitude,privateIP,publicIP,measurementServer,radiotech,signal,strength,area_code,cellID,GSM,RSSI,GSM_BER,GSM_receive_power,WDCMA_ASU,WCDMA_receive_power,LTE_ASU,LTE_RSRP,LTE_CQI_LTE_RSPQ
2017-01-02 07:40:30,Sony,D5803,6.0.1,545c7945-6f55-4043-9ec7-14d60893e659,O9a6rkzrnqMp2GzHZATXU0mnzQSe/ld6dfkvtmASCBo=,1.1427994206991E+020,262,1,T-Mobile,262,1,T-Mobile,60.2,6934.5625,1356.9629396985,48.1751411,11.5972469,10.50.49.231,80.187.123.112,54.216.74.160,15,38,17355,3489991,-,-,-,12,-89,-,-,-,-,-
2017-01-02 06:12:02,Sony,D5803,6.0.1,545c7945-6f55-4043-9ec7-14d60893e659,O9a6rkzrnqMp2GzHZATXU0mnzQSe/ld6dfkvtmASCBo=,1.1427994206991E+020,262,1,T-Mobile,262,1,T-Mobile,55.1,6918.725,1354.6623743719,48.1751738,11.5973119,10.50.49.231,80.187.123.112,54.216.74.160,15,6,17355,3489993,-,-,-,2,-109,-,-,-,-,-
2017-01-02 02:14:43,Sony,D5803,6.0.1,545c7945-6f55-4043-9ec7-14d60893e659,O9a6rkzrnqMp2GzHZATXU0mnzQSe/ld6dfkvtmASCBo=,1.1427994206991E+020,262,1,T-Mobile,262,1,T-Mobile,57.2,6887.05,1357.1608040201,48.17239619,11.5847531,10.50.49.231,80.187.123.112,54.216.74.160,15,6,17355,3489991,-,-,-,2,-109,-,-,-,-,-
2017-01-02 00:16:04,Sony,D5803,6.0.1,545c7945-6f55-4043-9ec7-14d60893e659,O9a6rkzrnqMp2GzHZATXU0mnzQSe/ld6dfkvtmASCBo=,1.1427994206991E+020,262,1,T-Mobile,262,1,T-Mobile,74.5,6611.025,1356.9189698493,48.1751411,11.5972469,10.50.49.231,80.187.123.112,54.216.74.160,15,6,17355,3489993,-,-,-,2,-109,-,-,-,-,-
2017-01-01 23:06:56,Sony,D5803,6.0.1,545c7945-6f55-4043-9ec7-14d60893e659,O9a6rkzrnqMp2GzHZATXU0mnzQSe/ld6dfkvtmASCBo=,1.1427994206991E+020,262,1,T-Mobile,262,1,T-Mobile,56.7,6936.825,1356.9707914573,48.1751411,11.5972469,10.50.49.231,80.187.123.112,54.216.74.160,15,12,17355,3475593,-,-,-,4,-105,-,-,-,-,-
2017-01-01 21:50:43,Sony,D5803,6.0.1,545c7945-6f55-4043-9ec7-14d60893e659,O9a6rkzrnqMp2GzHZATXU0mnzQSe/ld6dfkvtmASCBo=,1.1427994206991E+020,262,1,T-Mobile,262,1,T-Mobile,110.4,1028.25,1001.7587939699,48.1751411,11.5972469,192.168.10.17,79.227.227.252,54.216.74.160,0,6,17355,3489993,-,-,-,2,-109,-,-,-,-,-
2016-12-19 15:45:06,Sony,D5803,6.0.1,545c7945-6f55-4043-9ec7-14d60893e659,O9a6rkzrnqMp2GzHZATXU0mnzQSe/ld6dfkvtmASCBo=,1.1427994206991E+020,262,1,T-Mobile,262,1,T-Mobile,54.7,3516.75,1580.6532663317,48.1751411,11.5972469,192.168.10.17,79.227.227.252,54.216.74.160,0,22,17355,3475593,-,-,-,7,-99,-,-,-,-,-
2016-12-18 20:58:37,Sony,D5803,6.0.1,545c7945-6f55-4043-9ec7-14d60893e659,O9a6rkzrnqMp2GzHZATXU0mnzQSe/ld6dfkvtmASCBo=,1.1427994206991E+020,262,1,T-Mobile,262,1,T-Mobile,99.3,2479.5,1313.8190954774,48.1751411,11.5972469,192.168.10.17,79.227.227.252,54.216.74.160,0,0,17355,3475606,-,-,-,0,-113,-,-,-,-,-
2016-12-17 11:07:22,Apple,iPhone7.2,-,05640496F6714C57A9C4A9C76C9218ED,-,1.1427994206991E+020,262,2,Vodafone,262,2,Vodafone,68,27030,4197,48.1460158015,11.5809941478,100.79.142.137,109.43.2.201,54.216.74.160,8,-,null,null,-,-,-,-,-,-,-,-,-,-
2016-12-17 11:03:40,Apple,iPhone7.2,-,05640496F6714C57A9C4A9C76C9218ED,-,1.1427994206991E+020,262,2,Vodafone,262,2,Vodafone,34,13267,30875,48.1466493477,11.5814401489,10.180.9.255,138.246.2.247,54.216.74.160,0,-,null,null,-,-,-,-,-,-,-,-,-,-
