startedAt,vendor,model,osversion,installationId,imsi,unknown,subscriber.mcc,subscriber.mnc,subscriber.operator,network.mcc,network.mnc,network.operator,latency,downlink,uplink,latitude,longitude,privateIP,publicIP,measurementServer,radiotech,signal,strength,area_code,cellID,GSM,RSSI,GSM_BER,GSM_receive_power,WDCMA_ASU,WCDMA_receive_power,LTE_ASU,LTE_RSRP,LTE_CQI_LTE_RSPQ
2017-01-20 13:14:50,samsung,SM-G920F,6.0.1,84884dd4-59f6-4656-9949-249df8f4bc67,HqZ8qNQO0Uyb4JGeFXR2nBHls/mHNaLBhpFfn4nH/wE=,1.1427994206991E+020,268,1,Vodafone,262,2,Vodafone,35.9,11769.525,78697.8784547739,-,-,192.168.1.106,141.84.69.88,54.216.74.160,0,100,48030,21289985,-,-,-,-,-,97,113,2,-9,-1
2017-01-20 12:44:50,samsung,SM-G920F,6.0.1,84884dd4-59f6-4656-9949-249df8f4bc67,HqZ8qNQO0Uyb4JGeFXR2nBHls/mHNaLBhpFfn4nH/wE=,1.1427994206991E+020,268,1,Vodafone,262,2,Vodafone,36.3,19281.025,79415.1099246231,-,-,192.168.1.106,141.84.69.88,54.216.74.160,0,100,48030,21289985,-,-,-,-,-,97,115,2,-11,0
2017-01-20 12:14:49,samsung,SM-G920F,6.0.1,84884dd4-59f6-4656-9949-249df8f4bc67,HqZ8qNQO0Uyb4JGeFXR2nBHls/mHNaLBhpFfn4nH/wE=,1.1427994206991E+020,268,1,Vodafone,262,2,Vodafone,38.3,14174.5625,45413.1721105528,-,-,192.168.1.106,141.84.69.88,54.216.74.160,0,100,48030,21289985,-,-,-,-,-,97,113,2,-8,0
2017-01-20 11:44:49,samsung,SM-G920F,6.0.1,84884dd4-59f6-4656-9949-249df8f4bc67,HqZ8qNQO0Uyb4JGeFXR2nBHls/mHNaLBhpFfn4nH/wE=,1.1427994206991E+020,268,1,Vodafone,262,2,Vodafone,35.5,17500.425,51567.4576005025,-,-,192.168.1.106,141.84.69.88,54.78.38.85,0,100,48030,20747010,-,-,-,-,-,97,115,2,-11,-2
2017-01-20 11:04:51,samsung,SM-G920F,6.0.1,84884dd4-59f6-4656-9949-249df8f4bc67,HqZ8qNQO0Uyb4JGeFXR2nBHls/mHNaLBhpFfn4nH/wE=,1.1427994206991E+020,268,1,Vodafone,262,2,Vodafone,34.6,20715.45,44498.8065326633,-,-,192.168.1.106,141.84.69.88,54.216.74.160,0,100,48030,21289985,-,-,-,-,-,97,116,2,-11,0
2017-01-20 10:50:43,samsung,SM-G920F,6.0.1,84884dd4-59f6-4656-9949-249df8f4bc67,HqZ8qNQO0Uyb4JGeFXR2nBHls/mHNaLBhpFfn4nH/wE=,1.1427994206991E+020,268,1,Vodafone,262,2,Vodafone,35.6,17728.95,23502.5047110553,-,-,192.168.1.106,141.84.69.88,54.216.74.160,0,29,893,10432,9,99,-51,-,-,-,-,-,-,-
2017-01-20 10:04:50,samsung,SM-G920F,6.0.1,84884dd4-59f6-4656-9949-249df8f4bc67,HqZ8qNQO0Uyb4JGeFXR2nBHls/mHNaLBhpFfn4nH/wE=,1.1427994206991E+020,268,1,Vodafone,262,2,Vodafone,35.7,15154.225,80511.6221733668,-,-,192.168.1.106,141.84.69.88,54.216.74.160,0,100,48030,21250817,-,-,-,-,-,97,114,2,-10,1
2017-01-20 09:34:50,samsung,SM-G920F,6.0.1,84884dd4-59f6-4656-9949-249df8f4bc67,HqZ8qNQO0Uyb4JGeFXR2nBHls/mHNaLBhpFfn4nH/wE=,1.1427994206991E+020,268,1,Vodafone,262,2,Vodafone,34.5,32020.0375,60820.6469849246,-,-,192.168.1.106,141.84.69.88,54.216.74.160,0,100,48030,21250817,-,-,-,-,-,97,115,2,-10,2
2017-01-20 09:04:50,samsung,SM-G920F,6.0.1,84884dd4-59f6-4656-9949-249df8f4bc67,HqZ8qNQO0Uyb4JGeFXR2nBHls/mHNaLBhpFfn4nH/wE=,1.1427994206991E+020,268,1,Vodafone,262,2,Vodafone,36.4,20928.125,48470.2010050251,-,-,192.168.1.106,141.84.69.88,54.216.74.160,0,100,48030,21250817,-,-,-,-,-,97,117,2,-14,-4
2017-01-20 09:03:52,samsung,SM-G920F,6.0.1,84884dd4-59f6-4656-9949-249df8f4bc67,HqZ8qNQO0Uyb4JGeFXR2nBHls/mHNaLBhpFfn4nH/wE=,1.1427994206991E+020,268,1,Vodafone,262,2,Vodafone,82,28265.825,46281.4604271357,-,-,192.168.1.106,141.84.69.88,54.216.74.160,0,100,48030,21250817,-,-,-,-,-,97,111,2,-9,-5
2017-01-20 08:04:49,samsung,SM-G920F,6.0.1,84884dd4-59f6-4656-9949-249df8f4bc67,HqZ8qNQO0Uyb4JGeFXR2nBHls/mHNaLBhpFfn4nH/wE=,1.1427994206991E+020,268,1,Vodafone,262,2,Vodafone,35.4,19129.4375,80443.6102386935,-,-,192.168.1.106,141.84.69.88,54.216.74.160,0,100,48030,21250817,-,-,-,-,-,97,109,2,-8,2
2017-01-20 07:34:50,samsung,SM-G920F,6.0.1,84884dd4-59f6-4656-9949-249df8f4bc67,HqZ8qNQO0Uyb4JGeFXR2nBHls/mHNaLBhpFfn4nH/wE=,1.1427994206991E+020,268,1,Vodafone,262,2,Vodafone,37.7,19106.8125,72716.9221105528,-,-,192.168.1.106,141.84.69.88,54.216.74.160,0,100,48030,21250817,-,-,-,-,-,97,110,2,-9,2
2017-01-20 07:04:49,samsung,SM-G920F,6.0.1,84884dd4-59f6-4656-9949-249df8f4bc67,HqZ8qNQO0Uyb4JGeFXR2nBHls/mHNaLBhpFfn4nH/wE=,1.1427994206991E+020,268,1,Vodafone,262,2,Vodafone,35.7,17753.8375,48055.5056532663,-,-,192.168.1.106,141.84.69.88,54.216.74.160,0,100,48030,21250817,-,-,-,-,-,97,114,2,-15,-3
2017-01-20 06:29:49,samsung,SM-G920F,6.0.1,84884dd4-59f6-4656-9949-249df8f4bc67,HqZ8qNQO0Uyb4JGeFXR2nBHls/mHNaLBhpFfn4nH/wE=,1.1427994206991E+020,268,1,Vodafone,262,2,Vodafone,35.2,18495.9375,38990.4695351759,-,-,192.168.1.106,141.84.69.88,54.78.38.85,0,29,893,10432,9,99,-51,-,-,-,-,-,-,-
2017-01-20 05:59:50,samsung,SM-G920F,6.0.1,84884dd4-59f6-4656-9949-249df8f4bc67,HqZ8qNQO0Uyb4JGeFXR2nBHls/mHNaLBhpFfn4nH/wE=,1.1427994206991E+020,268,1,Vodafone,262,2,Vodafone,34.6,25797.025,35000.4695351759,-,-,192.168.1.106,141.84.69.88,54.216.74.160,0,29,893,31641,9,99,-51,-,-,-,-,-,-,-
2017-01-20 05:26:07,samsung,SM-G920F,6.0.1,84884dd4-59f6-4656-9949-249df8f4bc67,HqZ8qNQO0Uyb4JGeFXR2nBHls/mHNaLBhpFfn4nH/wE=,1.1427994206991E+020,268,1,Vodafone,262,2,Vodafone,34.8,29019.5125,80352.0555904523,-,-,192.168.1.106,141.84.69.88,54.216.74.160,0,29,893,31641,9,99,-51,-,-,-,-,-,-,-
2017-01-20 04:56:08,samsung,SM-G920F,6.0.1,84884dd4-59f6-4656-9949-249df8f4bc67,HqZ8qNQO0Uyb4JGeFXR2nBHls/mHNaLBhpFfn4nH/wE=,1.1427994206991E+020,268,1,Vodafone,262,2,Vodafone,35.2,25377.25,44771.2311557789,-,-,192.168.1.106,141.84.69.88,54.216.74.160,0,100,48030,21250817,-,-,-,-,-,97,112,2,-8,2
2017-01-20 04:26:07,samsung,SM-G920F,6.0.1,84884dd4-59f6-4656-9949-249df8f4bc67,HqZ8qNQO0Uyb4JGeFXR2nBHls/mHNaLBhpFfn4nH/wE=,1.1427994206991E+020,268,1,Vodafone,262,2,Vodafone,34.1,13629.3,57862.8737437186,-,-,192.168.1.106,141.84.69.88,54.216.74.160,0,100,48030,21250817,-,-,-,-,-,97,112,2,-9,-2
2017-01-20 03:56:08,samsung,SM-G920F,6.0.1,84884dd4-59f6-4656-9949-249df8f4bc67,HqZ8qNQO0Uyb4JGeFXR2nBHls/mHNaLBhpFfn4nH/wE=,1.1427994206991E+020,268,1,Vodafone,262,2,Vodafone,33.7,28961.4625,45235.7977386935,-,-,192.168.1.106,141.84.69.88,54.216.74.160,0,100,48030,21250817,-,-,-,-,-,97,112,2,-8,2
2017-01-20 03:33:43,samsung,SM-G920F,6.0.1,84884dd4-59f6-4656-9949-249df8f4bc67,HqZ8qNQO0Uyb4JGeFXR2nBHls/mHNaLBhpFfn4nH/wE=,1.1427994206991E+020,268,1,Vodafone,262,2,Vodafone,34.1,27562.425,55282.4183417085,-,-,192.168.1.106,141.84.69.88,54.216.74.160,0,100,48030,21250817,-,-,-,-,-,97,112,2,-9,2
2017-01-20 02:56:06,samsung,SM-G920F,6.0.1,84884dd4-59f6-4656-9949-249df8f4bc67,HqZ8qNQO0Uyb4JGeFXR2nBHls/mHNaLBhpFfn4nH/wE=,1.1427994206991E+020,268,1,Vodafone,262,2,Vodafone,34.3,26166.5375,43764.3797110553,-,-,192.168.1.106,141.84.69.88,54.216.74.160,0,100,48030,21250817,-,-,-,-,-,97,113,2,-9,2
